Time,Temperature (C),Humidity (%)
10:21:42,19.0,48.0
10:21:43,19.0,47.0
10:21:45,19.0,48.0
10:21:46,19.0,48.0
10:21:48,19.0,48.0
10:21:50,19.0,47.0
10:21:52,19.0,48.0
10:21:53,19.0,47.0
10:21:55,19.0,48.0
10:21:57,19.0,47.0
10:21:58,19.0,48.0
10:22:00,19.0,48.0
10:22:02,19.0,48.0
10:22:03,19.0,48.0
10:22:05,19.0,48.0
10:22:06,19.0,48.0
10:22:08,19.0,48.0
10:22:09,19.0,48.0
10:22:11,19.0,48.0
10:22:12,19.0,48.0
10:22:14,19.0,48.0
10:22:15,19.0,48.0
10:22:17,19.0,48.0
10:22:18,19.0,48.0
10:22:20,19.0,48.0
10:22:21,19.0,48.0
10:22:23,19.0,48.0
10:22:24,19.0,48.0
10:22:26,19.0,48.0
10:22:28,19.0,48.0
10:22:29,19.0,48.0
10:22:31,19.0,48.0
10:22:32,19.0,48.0
10:22:34,19.0,48.0
10:22:36,19.0,47.0
10:22:37,19.0,48.0
10:22:39,19.0,48.0
10:22:40,19.0,48.0
10:22:42,19.0,48.0
10:22:43,19.0,48.0
10:22:45,19.0,48.0
10:22:46,19.0,48.0
10:22:48,19.0,48.0
10:22:49,19.0,48.0
10:22:51,19.0,49.0
10:22:52,19.0,48.0
10:22:54,19.0,48.0
10:22:56,19.0,48.0
10:22:57,19.0,48.0
10:22:59,19.0,48.0
10:23:00,19.0,48.0
10:23:02,19.0,48.0
10:23:04,19.0,47.0
10:23:05,19.0,48.0
10:23:07,19.0,48.0
10:23:08,19.0,48.0
10:23:10,19.0,48.0
10:23:11,19.0,48.0
10:23:13,19.0,48.0
10:23:14,19.0,48.0
10:23:16,19.0,48.0
10:23:17,19.0,48.0
10:23:19,19.0,48.0
10:23:20,19.0,48.0
10:23:22,19.0,48.0
10:23:24,19.0,48.0
10:23:25,19.0,48.0
10:23:27,19.0,48.0
10:23:28,19.0,48.0
10:23:30,19.0,48.0
10:23:31,19.0,48.0
10:23:33,19.0,48.0
10:23:34,19.0,48.0
10:23:36,19.0,48.0
10:23:37,19.0,48.0
10:23:39,19.0,48.0
10:23:40,19.0,48.0
10:23:42,19.0,48.0
10:23:44,19.0,47.0
10:23:46,19.0,48.0
10:23:48,19.0,47.0
10:23:49,19.0,48.0
10:23:51,19.0,48.0
10:23:52,19.0,48.0
10:23:54,19.0,48.0
10:23:55,19.0,48.0
10:23:57,19.0,48.0
