Hora,Temperatura (C),Voltaje C (V)
10:56:16,25.6789086581,2.484075808
10:56:17,25.6820337535,2.4848258309
10:56:18,25.6882839442,2.4855758538
10:56:19,25.6976592303,2.4862008728
10:56:20,25.7132847072,2.4823257546
10:56:21,25.728910184,2.4825757622
10:56:22,25.7445356609,2.4853258461
10:56:23,25.7632862331,2.4848258309
10:56:24,25.77891171,2.4674503006
10:56:26,25.7820368053,2.4850758385
10:56:27,25.7820368053,2.4843258156
10:56:28,25.8007873775,2.4844508194
10:56:29,25.813287759,2.4825757622
10:56:30,25.8257881405,2.4848258309
10:56:31,25.838288522,2.4839508042
10:56:32,25.8476638081,2.4843258156
10:56:33,25.8570390942,2.4830757775
10:56:34,25.8695394757,2.4834507889
10:56:35,25.8820398572,2.4825757622
10:56:36,25.8914151433,2.484075808
10:56:37,25.8945402387,2.4835757927
10:56:38,25.9007904294,2.4828257698
10:56:39,25.9101657155,2.4835757927
10:56:40,25.9195410016,2.4835757927
10:56:41,25.9320413831,2.4830757775
10:56:42,25.94766686,2.482700766
10:56:43,25.9789178137,2.4834507889
10:56:44,25.9882930998,2.4838258003
10:56:45,25.9882930998,2.4847008271
10:56:46,25.9976683859,2.4863258766
10:56:47,26.0039185766,2.4843258156
10:56:48,26.0226691488,2.4842008118
10:56:49,26.0445448164,2.4847008271
10:56:50,26.066420484,2.4845758232
10:56:51,26.0726706748,2.4845758232
10:56:52,26.0757957701,2.4850758385
10:56:53,26.0882961516,2.4853258461
10:56:54,26.1070467238,2.4850758385
10:56:55,26.1289223914,2.4843258156
10:56:56,26.1445478683,2.484075808
10:56:58,26.1632984405,2.4842008118
10:56:59,26.1820490127,2.4842008118
10:57:00,26.1882992035,2.484075808
10:57:01,26.1976744896,2.4835757927
10:57:02,26.2226752525,2.4838258003
10:57:03,26.2258003479,2.4843258156
10:57:04,26.2226752525,2.4823257546
10:57:05,26.2132999664,2.484075808
10:57:06,26.1976744896,2.4847008271
10:57:07,26.1882992035,2.4847008271
10:57:08,26.175798822,2.4822007508
10:57:09,26.175798822,2.4832007813
10:57:10,26.1726737266,2.4832007813
10:57:11,26.175798822,2.4844508194
10:57:12,26.1851741081,2.4838258003
10:57:13,26.1789239174,2.4933260903
10:57:14,26.1789239174,2.4829507736
10:57:15,26.1882992035,2.4783256325
10:57:16,26.1976744896,2.4817007355
10:57:17,26.2101748711,2.4828257698
10:57:18,26.2320505387,2.484075808
10:57:19,26.2383007294,2.4824507584
10:57:20,26.2445509201,2.4822007508
10:57:21,26.235175634,2.4809507126
10:57:22,26.2289254433,2.4655752434
10:57:23,26.2476760155,2.4724504532
10:57:24,26.2695516831,2.4729504685
10:57:25,26.2914273507,2.4842008118
10:57:26,26.3164281137,2.4835757927
10:57:27,26.3289284951,2.4834507889
10:57:28,26.3320535905,2.4830757775
10:57:29,26.3320535905,2.4845758232
10:57:31,26.3164281137,2.482700766
10:57:32,26.3164281137,2.4833257851
10:57:33,26.319553209,2.4829507736
10:57:34,26.3070528275,2.4834507889
10:57:35,26.2914273507,2.4808257088
10:57:36,26.2976775414,2.4820757469
10:57:37,26.3289284951,2.4833257851
10:57:38,26.3476790674,2.4835757927
